Chameleon RevE Rebooted log parser v. 0.01 by NiTRo THe DeMoN

Binary log filename: logtest.bin
Log enabled: true
Log lenght: 29280
Total bytes wrote: 29296

01938/29296: [01279] + | IDLE        | 
01943/29296: [01283] R | IDLE        | 50 00 57 CD
01952/29296: [01283] + | HALT        | 
01957/29296: [01287] R | HALT        | 52
01963/29296: [01287] + | READY       | 
01968/29296: [01288] R | READY       | 93 70 FF FF FF FF 00 27 D0
01982/29296: [01288] + | ACTIVE      | 
01987/29296: [01294] R | ACTIVE      | 50 00 57 CD
01996/29296: [01294] + | HALT        | 
02001/29296: [01299] R | HALT        | 52
02007/29296: [01299] + | READY       | 
02012/29296: [01300] R | READY       | 93 70 FF FF FF FF 00 27 D0
02026/29296: [01300] + | ACTIVE      | 
02031/29296: [01306] R | ACTIVE      | 60 00 F5 7B
02040/29296: [01306] + | AUTHING     | 
02045/29296: [01308] R | AUTHING     | 6F 26 20 C4 06 D1 8B 4E
02058/29296: [01308] + | IDLE        | 
02063/29296: [01313] R | IDLE        | 50 00 57 CD
02072/29296: [01313] + | HALT        | 
02077/29296: [01317] R | HALT        | 52
02083/29296: [01317] + | READY       | 
02088/29296: [01319] R | READY       | 93 70 FF FF FF FF 00 27 D0
02102/29296: [01319] + | ACTIVE      | 
02107/29296: [01324] R | ACTIVE      | 50 00 57 CD
02116/29296: [01324] + | HALT        | 
02121/29296: [01329] R | HALT        | 52
02127/29296: [01329] + | READY       | 
02132/29296: [01331] R | READY       | 93 70 FF FF FF FF 00 27 D0
02146/29296: [01331] + | ACTIVE      | 
02151/29296: [01355] R | ACTIVE      | 50 00 57 CD
02160/29296: [01355] + | HALT        | 
02165/29296: [01365] R | HALT        | 52
02171/29296: [01365] + | READY       | 
02176/29296: [01367] R | READY       | 93 70 FF FF FF FF 00 27 D0
02190/29296: [01367] + | ACTIVE      | 
02195/29296: [01372] R | ACTIVE      | 60 00 F5 7B
02204/29296: [01372] + | AUTHING     | 
02209/29296: [01374] R | AUTHING     | 85 0E FE 13 C0 1D 7C 11
02222/29296: [01374] + | IDLE        | 
02227/29296: [01378] R | IDLE        | 50 00 57 CD
02236/29296: [01378] + | HALT        | 
